freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.300e+02,5.371e+00,8.043e+00,2.434e+02
1.6,1.413e+02,2.144e+01,3.240e+01,1.951e+02
3.1,3.329e+01,2.349e+01,3.708e+01,9.387e+01
4.7,3.469e+02,2.394e+01,4.032e+01,4.112e+02
6.3,1.136e+03,2.441e+01,3.827e+01,1.198e+03
7.8,1.884e+03,2.398e+01,3.764e+01,1.945e+03
9.4,2.757e+03,2.357e+01,4.244e+01,2.823e+03
11.0,3.717e+03,2.543e+01,4.529e+01,3.787e+03
12.6,4.486e+03,2.715e+01,4.368e+01,4.557e+03
14.1,5.564e+03,2.743e+01,4.541e+01,5.637e+03
15.7,7.353e+03,3.128e+01,4.992e+01,7.434e+03
17.3,9.789e+03,3.736e+01,5.457e+01,9.881e+03
18.8,1.209e+04,3.373e+01,6.037e+01,1.218e+04
20.4,1.444e+04,3.110e+01,5.252e+01,1.452e+04
22.0,1.690e+04,2.858e+01,4.826e+01,1.697e+04
23.5,1.910e+04,2.981e+01,4.564e+01,1.918e+04
25.1,2.173e+04,2.803e+01,4.296e+01,2.180e+04
26.7,2.634e+04,3.461e+01,4.144e+01,2.642e+04
28.2,3.077e+04,6.324e+01,4.853e+01,3.088e+04
29.8,3.419e+04,8.809e+01,7.666e+01,3.436e+04
31.4,3.946e+04,1.157e+02,1.201e+02,3.970e+04
33.0,4.612e+04,1.459e+02,1.348e+02,4.640e+04
34.5,5.576e+04,1.378e+02,9.586e+01,5.600e+04
36.1,6.671e+04,9.552e+01,7.858e+01,6.688e+04
37.7,8.070e+04,7.348e+01,1.240e+02,8.089e+04
39.2,9.535e+04,8.306e+01,1.883e+02,9.562e+04
40.8,1.184e+05,9.722e+01,2.583e+02,1.187e+05
42.4,1.534e+05,9.986e+01,4.303e+02,1.539e+05
43.9,1.876e+05,1.057e+02,8.055e+02,1.885e+05
45.5,2.424e+05,1.025e+02,1.617e+03,2.441e+05
47.1,3.167e+05,1.677e+02,3.153e+03,3.200e+05
48.6,3.672e+05,3.267e+02,6.053e+03,3.736e+05
50.2,3.865e+05,4.881e+02,6.662e+03,3.936e+05
51.8,4.326e+05,6.973e+02,4.495e+03,4.378e+05
53.4,3.764e+05,1.031e+03,1.754e+03,3.792e+05
54.9,2.981e+05,1.804e+03,3.662e+02,3.003e+05
56.5,3.090e+05,3.368e+03,2.108e+02,3.126e+05
58.1,2.225e+05,2.995e+03,3.422e+02,2.258e+05
59.6,1.504e+05,1.457e+03,6.357e+02,1.525e+05
61.2,1.271e+05,8.435e+02,9.984e+02,1.289e+05
62.8,1.184e+05,5.719e+02,1.201e+03,1.202e+05
64.3,1.177e+05,3.568e+02,1.299e+03,1.194e+05
65.9,1.192e+05,2.013e+02,1.339e+03,1.207e+05
67.5,1.226e+05,4.432e+02,1.359e+03,1.244e+05
69.0,1.147e+05,9.009e+02,1.235e+03,1.168e+05
70.6,9.359e+04,1.013e+03,1.033e+03,9.563e+04
72.2,6.682e+04,6.267e+02,6.700e+02,6.811e+04
73.8,4.220e+04,2.391e+02,3.496e+02,4.278e+04
75.3,2.781e+04,3.090e+02,4.284e+02,2.855e+04
76.9,2.187e+04,8.338e+02,7.387e+02,2.344e+04
78.5,1.812e+04,1.950e+03,1.196e+03,2.127e+04
80.0,1.760e+04,3.439e+03,1.564e+03,2.260e+04
81.6,2.265e+04,5.659e+03,1.715e+03,3.002e+04
83.2,3.462e+04,9.410e+03,1.858e+03,4.589e+04
84.7,4.837e+04,1.122e+04,1.696e+03,6.128e+04
86.3,5.747e+04,1.006e+04,1.595e+03,6.913e+04
87.9,6.083e+04,7.129e+03,1.808e+03,6.976e+04
89.4,6.038e+04,4.136e+03,1.977e+03,6.649e+04
91.0,5.722e+04,2.364e+03,2.102e+03,6.169e+04
92.6,5.200e+04,1.297e+03,2.223e+03,5.552e+04
94.2,4.413e+04,9.505e+02,2.400e+03,4.748e+04
95.7,3.197e+04,9.246e+02,2.518e+03,3.542e+04
97.3,2.009e+04,1.074e+03,2.624e+03,2.379e+04
98.9,1.422e+04,1.293e+03,2.937e+03,1.845e+04
100.4,1.270e+04,1.183e+03,3.405e+03,1.729e+04
102.0,1.278e+04,1.343e+03,3.929e+03,1.805e+04
103.6,1.922e+04,1.774e+03,4.423e+03,2.542e+04
105.1,3.035e+04,1.837e+03,5.172e+03,3.736e+04
106.7,4.650e+04,1.781e+03,6.458e+03,5.474e+04
108.3,6.727e+04,1.877e+03,7.378e+03,7.653e+04
109.9,8.607e+04,1.946e+03,7.555e+03,9.557e+04
111.4,9.579e+04,2.271e+03,7.044e+03,1.051e+05
113.0,1.002e+05,3.031e+03,6.435e+03,1.096e+05
114.6,9.950e+04,3.129e+03,5.884e+03,1.085e+05
116.1,1.001e+05,3.087e+03,5.630e+03,1.088e+05
117.7,1.011e+05,3.127e+03,5.193e+03,1.094e+05
119.3,1.025e+05,2.968e+03,4.516e+03,1.100e+05
120.8,1.030e+05,2.713e+03,3.594e+03,1.093e+05
122.4,9.871e+04,1.952e+03,2.593e+03,1.033e+05
124.0,9.547e+04,1.037e+03,2.090e+03,9.859e+04
125.5,9.257e+04,5.362e+02,2.081e+03,9.518e+04
127.1,9.091e+04,4.232e+02,2.480e+03,9.382e+04
128.7,8.801e+04,6.319e+02,3.168e+03,9.181e+04
130.3,8.082e+04,8.597e+02,3.498e+03,8.518e+04
131.8,7.104e+04,1.220e+03,3.862e+03,7.612e+04
