freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.908e+01,2.490e+01,4.004e+02,4.644e+02
1.6,3.741e+01,2.906e+01,2.536e+02,3.200e+02
3.1,1.952e+01,2.148e+01,4.466e+01,8.566e+01
4.7,1.969e+01,2.195e+01,3.625e+02,4.042e+02
6.3,1.919e+01,2.332e+01,1.180e+03,1.223e+03
7.8,2.144e+01,2.143e+01,1.901e+03,1.944e+03
9.4,2.249e+01,2.214e+01,2.827e+03,2.872e+03
11.0,2.279e+01,2.326e+01,4.110e+03,4.156e+03
12.6,2.431e+01,2.210e+01,5.898e+03,5.944e+03
14.1,2.585e+01,2.805e+01,8.261e+03,8.315e+03
15.7,2.884e+01,4.089e+01,1.073e+04,1.080e+04
17.3,5.138e+01,4.844e+01,1.349e+04,1.359e+04
18.8,5.693e+01,4.005e+01,1.657e+04,1.667e+04
20.4,5.080e+01,3.365e+01,2.106e+04,2.115e+04
22.0,5.184e+01,3.404e+01,2.717e+04,2.726e+04
23.5,4.883e+01,3.574e+01,3.466e+04,3.474e+04
25.1,6.520e+01,6.671e+01,4.228e+04,4.241e+04
26.7,7.934e+01,1.178e+02,5.045e+04,5.064e+04
28.2,3.089e+02,2.332e+02,6.575e+04,6.629e+04
29.8,7.889e+02,5.254e+02,8.590e+04,8.722e+04
31.4,1.463e+03,8.945e+02,1.183e+05,1.207e+05
32.9,2.888e+03,1.395e+03,1.731e+05,1.774e+05
34.5,7.121e+03,2.561e+03,2.917e+05,3.014e+05
36.1,2.331e+04,4.048e+03,5.862e+05,6.135e+05
37.7,5.554e+04,4.713e+03,9.842e+05,1.044e+06
39.2,6.877e+04,4.969e+03,9.490e+05,1.023e+06
40.8,6.773e+04,6.177e+03,7.406e+05,8.145e+05
42.4,6.253e+04,6.892e+03,5.902e+05,6.596e+05
43.9,5.228e+04,6.335e+03,4.616e+05,5.203e+05
45.5,4.006e+04,5.704e+03,3.564e+05,4.021e+05
47.1,3.321e+04,6.207e+03,2.911e+05,3.305e+05
48.6,3.294e+04,7.566e+03,2.434e+05,2.839e+05
50.2,2.912e+04,8.484e+03,1.991e+05,2.367e+05
51.8,2.549e+04,8.498e+03,1.649e+05,1.989e+05
53.3,2.184e+04,5.784e+03,1.361e+05,1.638e+05
54.9,2.247e+04,4.892e+03,1.160e+05,1.434e+05
56.5,2.229e+04,4.251e+03,9.968e+04,1.262e+05
58.0,2.188e+04,3.676e+03,8.253e+04,1.081e+05
59.6,2.458e+04,5.187e+03,6.981e+04,9.957e+04
61.2,2.451e+04,8.757e+03,5.867e+04,9.194e+04
62.8,2.205e+04,1.727e+04,5.257e+04,9.189e+04
64.3,1.908e+04,2.961e+04,4.954e+04,9.822e+04
65.9,1.778e+04,3.456e+04,4.583e+04,9.816e+04
67.5,1.694e+04,3.055e+04,3.796e+04,8.545e+04
69.0,1.823e+04,2.585e+04,3.295e+04,7.703e+04
70.6,2.228e+04,2.370e+04,3.163e+04,7.761e+04
72.2,2.664e+04,2.289e+04,3.007e+04,7.960e+04
73.7,3.120e+04,2.377e+04,2.828e+04,8.325e+04
75.3,2.918e+04,2.663e+04,2.677e+04,8.258e+04
76.9,2.362e+04,3.062e+04,2.692e+04,8.116e+04
78.4,1.926e+04,3.642e+04,2.848e+04,8.416e+04
80.0,1.733e+04,4.461e+04,3.126e+04,9.320e+04
81.6,1.545e+04,5.549e+04,3.495e+04,1.059e+05
83.2,1.638e+04,6.821e+04,3.811e+04,1.227e+05
84.7,1.928e+04,7.833e+04,3.879e+04,1.364e+05
86.3,2.572e+04,8.585e+04,3.746e+04,1.490e+05
87.9,3.572e+04,9.257e+04,3.538e+04,1.637e+05
89.4,4.226e+04,9.239e+04,3.185e+04,1.665e+05
91.0,4.681e+04,8.948e+04,2.860e+04,1.649e+05
92.6,5.045e+04,8.656e+04,2.564e+04,1.626e+05
94.1,4.535e+04,8.262e+04,2.338e+04,1.513e+05
95.7,3.159e+04,7.825e+04,2.210e+04,1.319e+05
97.3,2.146e+04,7.219e+04,2.007e+04,1.137e+05
98.8,1.445e+04,6.252e+04,1.660e+04,9.357e+04
100.4,1.247e+04,5.193e+04,1.209e+04,7.650e+04
102.0,1.264e+04,3.670e+04,8.794e+03,5.813e+04
103.5,8.092e+03,2.527e+04,6.116e+03,3.948e+04
105.1,6.219e+03,1.706e+04,3.591e+03,2.687e+04
106.7,8.087e+03,1.143e+04,1.748e+03,2.127e+04
108.3,1.313e+04,7.320e+03,7.886e+02,2.124e+04
109.8,1.323e+04,4.570e+03,1.397e+03,1.920e+04
111.4,1.111e+04,3.710e+03,2.623e+03,1.744e+04
113.0,7.603e+03,4.537e+03,3.783e+03,1.592e+04
114.5,8.793e+03,6.016e+03,4.530e+03,1.934e+04
116.1,9.884e+03,5.927e+03,5.337e+03,2.115e+04
117.7,8.693e+03,5.052e+03,6.319e+03,2.006e+04
119.2,6.687e+03,5.624e+03,7.349e+03,1.966e+04
120.8,4.861e+03,7.767e+03,8.219e+03,2.085e+04
122.4,3.139e+03,1.197e+04,8.898e+03,2.401e+04
123.9,3.010e+03,1.517e+04,8.628e+03,2.681e+04
125.5,3.750e+03,1.561e+04,8.802e+03,2.816e+04
127.1,2.389e+03,2.012e+04,9.125e+03,3.163e+04
128.6,1.587e+03,2.642e+04,8.546e+03,3.655e+04
130.2,1.804e+03,3.644e+04,8.312e+03,4.655e+04
131.8,2.397e+03,3.527e+04,7.167e+03,4.483e+04
133.4,1.136e+03,1.344e+04,2.916e+03,1.749e+04
134.9,1.751e+02,1.722e+03,6.760e+02,2.573e+03
136.5,1.333e+02,1.185e+03,5.923e+02,1.910e+03
138.1,1.195e+02,1.057e+03,6.230e+02,1.800e+03
139.6,1.140e+02,9.017e+02,6.453e+02,1.661e+03
141.2,1.486e+02,6.877e+02,6.117e+02,1.448e+03
142.8,2.050e+02,6.016e+02,5.375e+02,1.344e+03
144.3,2.680e+02,8.027e+02,4.686e+02,1.539e+03
145.9,2.477e+02,8.984e+02,4.122e+02,1.558e+03
147.5,2.333e+02,1.037e+03,4.732e+02,1.744e+03
149.0,2.767e+02,1.957e+03,6.336e+02,2.868e+03
150.6,2.986e+02,3.388e+03,8.498e+02,4.537e+03
152.2,3.255e+02,4.632e+03,9.359e+02,5.894e+03
153.8,3.096e+02,5.233e+03,1.123e+03,6.666e+03
155.3,3.034e+02,5.524e+03,1.139e+03,6.967e+03
156.9,3.000e+02,5.067e+03,9.809e+02,6.348e+03
158.5,3.288e+02,5.278e+03,9.446e+02,6.552e+03
160.0,3.213e+02,5.435e+03,9.257e+02,6.682e+03
161.6,3.347e+02,4.888e+03,8.957e+02,6.118e+03
163.2,3.447e+02,4.418e+03,8.642e+02,5.627e+03
164.7,3.332e+02,3.823e+03,7.898e+02,4.946e+03
166.3,3.149e+02,3.424e+03,7.865e+02,4.526e+03
167.9,3.009e+02,3.109e+03,7.545e+02,4.164e+03
169.4,3.272e+02,2.765e+03,7.025e+02,3.795e+03
171.0,3.977e+02,2.331e+03,6.626e+02,3.392e+03
172.6,5.309e+02,2.223e+03,6.870e+02,3.441e+03
174.1,6.640e+02,2.324e+03,6.631e+02,3.651e+03
175.7,6.860e+02,2.540e+03,6.665e+02,3.893e+03
177.3,6.463e+02,2.541e+03,6.567e+02,3.844e+03
178.9,6.283e+02,2.555e+03,6.125e+02,3.796e+03
180.4,6.267e+02,2.596e+03,5.535e+02,3.776e+03
182.0,5.813e+02,2.456e+03,5.445e+02,3.582e+03
183.6,4.992e+02,2.260e+03,5.674e+02,3.327e+03
185.1,4.839e+02,1.971e+03,6.492e+02,3.104e+03
186.7,6.111e+02,1.346e+03,7.716e+02,2.729e+03
188.3,7.993e+02,8.380e+02,9.135e+02,2.551e+03
189.8,7.588e+02,5.889e+02,1.015e+03,2.362e+03
191.4,6.265e+02,5.163e+02,1.063e+03,2.206e+03
193.0,6.055e+02,7.103e+02,1.144e+03,2.460e+03
194.5,6.536e+02,7.976e+02,1.097e+03,2.549e+03
196.1,7.519e+02,6.138e+02,8.065e+02,2.172e+03
197.7,8.585e+02,5.709e+02,6.237e+02,2.053e+03
199.2,9.486e+02,6.823e+02,5.957e+02,2.227e+03
