freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.031e+02,1.132e+01,2.004e+01,3.345e+02
1.6,1.786e+02,2.287e+01,3.654e+01,2.380e+02
3.1,2.728e+01,2.274e+01,3.475e+01,8.478e+01
4.7,3.456e+02,2.360e+01,3.456e+01,4.038e+02
6.3,1.165e+03,2.375e+01,3.505e+01,1.223e+03
7.8,1.921e+03,2.455e+01,3.293e+01,1.978e+03
9.4,2.814e+03,2.573e+01,3.490e+01,2.875e+03
11.0,3.835e+03,2.944e+01,3.724e+01,3.902e+03
12.6,5.082e+03,3.131e+01,4.382e+01,5.157e+03
14.1,6.526e+03,3.484e+01,4.802e+01,6.609e+03
15.7,8.310e+03,3.776e+01,5.154e+01,8.399e+03
17.3,1.024e+04,3.581e+01,4.836e+01,1.032e+04
18.8,1.228e+04,3.235e+01,4.431e+01,1.235e+04
20.4,1.466e+04,2.893e+01,3.914e+01,1.473e+04
22.0,1.721e+04,3.887e+01,3.643e+01,1.728e+04
23.5,2.033e+04,3.600e+01,3.936e+01,2.041e+04
25.1,2.417e+04,3.148e+01,3.676e+01,2.423e+04
26.7,2.883e+04,3.719e+01,4.312e+01,2.891e+04
28.3,3.237e+04,5.690e+01,8.691e+01,3.251e+04
29.8,3.668e+04,8.727e+01,1.365e+02,3.690e+04
31.4,4.439e+04,1.445e+02,1.343e+02,4.467e+04
33.0,5.454e+04,1.775e+02,1.124e+02,5.483e+04
34.5,6.727e+04,1.843e+02,1.197e+02,6.757e+04
36.1,8.241e+04,1.556e+02,2.481e+02,8.282e+04
37.7,1.050e+05,1.381e+02,5.935e+02,1.057e+05
39.2,1.377e+05,1.503e+02,1.364e+03,1.392e+05
40.8,1.907e+05,1.960e+02,3.096e+03,1.940e+05
42.4,2.711e+05,3.032e+02,7.055e+03,2.785e+05
44.0,3.513e+05,3.914e+02,1.372e+04,3.654e+05
45.5,3.900e+05,3.123e+02,1.919e+04,4.095e+05
47.1,4.706e+05,1.807e+02,2.622e+04,4.970e+05
48.7,5.721e+05,2.771e+02,2.708e+04,5.994e+05
50.2,5.830e+05,1.893e+02,1.669e+04,5.999e+05
51.8,5.697e+05,4.806e+02,6.598e+03,5.768e+05
53.4,5.222e+05,1.218e+03,2.766e+03,5.262e+05
54.9,3.915e+05,1.112e+03,3.140e+03,3.957e+05
56.5,2.450e+05,5.744e+02,3.642e+03,2.492e+05
58.1,1.531e+05,3.764e+02,5.002e+03,1.584e+05
59.7,1.041e+05,3.535e+02,6.378e+03,1.108e+05
61.2,6.992e+04,2.499e+02,6.742e+03,7.691e+04
62.8,5.042e+04,1.199e+02,7.434e+03,5.798e+04
64.4,4.219e+04,2.023e+02,9.421e+03,5.181e+04
65.9,3.567e+04,3.033e+02,1.050e+04,4.646e+04
67.5,3.013e+04,2.277e+02,9.597e+03,3.995e+04
69.1,2.667e+04,1.567e+02,8.466e+03,3.529e+04
70.6,2.319e+04,1.025e+02,7.393e+03,3.068e+04
72.2,1.776e+04,9.288e+01,6.354e+03,2.420e+04
73.8,1.231e+04,2.862e+02,6.299e+03,1.889e+04
75.3,1.280e+04,8.313e+02,7.594e+03,2.122e+04
76.9,2.509e+04,1.611e+03,9.503e+03,3.620e+04
78.5,6.369e+04,2.614e+03,1.355e+04,7.985e+04
80.1,1.493e+05,3.856e+03,2.006e+04,1.732e+05
81.6,2.423e+05,5.367e+03,2.565e+04,2.734e+05
83.2,2.943e+05,6.890e+03,2.737e+04,3.286e+05
84.8,3.430e+05,8.488e+03,2.838e+04,3.799e+05
86.3,3.712e+05,9.166e+03,2.917e+04,4.096e+05
87.9,3.741e+05,1.002e+04,2.959e+04,4.138e+05
89.5,3.671e+05,1.135e+04,2.875e+04,4.072e+05
91.0,3.588e+05,1.056e+04,2.665e+04,3.960e+05
92.6,3.426e+05,7.774e+03,2.477e+04,3.752e+05
94.2,3.307e+05,5.596e+03,2.454e+04,3.608e+05
95.8,3.243e+05,4.681e+03,2.465e+04,3.536e+05
97.3,3.173e+05,4.732e+03,2.573e+04,3.477e+05
98.9,3.139e+05,6.467e+03,2.782e+04,3.481e+05
100.5,3.043e+05,8.268e+03,2.800e+04,3.405e+05
102.0,2.835e+05,1.147e+04,2.760e+04,3.226e+05
103.6,2.731e+05,1.424e+04,2.544e+04,3.128e+05
105.2,2.562e+05,1.430e+04,2.095e+04,2.915e+05
106.7,2.533e+05,1.560e+04,1.865e+04,2.876e+05
108.3,2.556e+05,1.735e+04,1.874e+04,2.916e+05
109.9,2.455e+05,2.009e+04,1.980e+04,2.854e+05
111.5,2.323e+05,2.208e+04,1.952e+04,2.739e+05
113.0,2.226e+05,2.353e+04,1.854e+04,2.647e+05
114.6,2.199e+05,2.684e+04,1.761e+04,2.644e+05
116.2,2.199e+05,3.229e+04,1.801e+04,2.702e+05
117.7,2.186e+05,3.779e+04,1.851e+04,2.749e+05
119.3,2.149e+05,4.347e+04,1.899e+04,2.773e+05
120.9,1.967e+05,4.283e+04,1.756e+04,2.571e+05
122.4,1.808e+05,4.550e+04,1.701e+04,2.433e+05
124.0,1.831e+05,6.869e+04,2.123e+04,2.730e+05
125.6,2.116e+05,1.119e+05,3.751e+04,3.611e+05
127.1,2.307e+05,1.386e+05,5.421e+04,4.235e+05
128.7,2.529e+05,1.548e+05,6.809e+04,4.758e+05
130.3,2.833e+05,1.702e+05,8.366e+04,5.372e+05
131.9,2.916e+05,1.615e+05,8.532e+04,5.384e+05
133.4,1.434e+05,7.246e+04,4.164e+04,2.575e+05
135.0,2.446e+04,1.156e+04,5.111e+03,4.113e+04
136.6,1.642e+04,8.004e+03,3.091e+03,2.751e+04
138.1,1.537e+04,7.750e+03,3.328e+03,2.645e+04
139.7,1.474e+04,7.805e+03,3.637e+03,2.619e+04
141.3,1.490e+04,8.519e+03,4.068e+03,2.749e+04
142.8,1.469e+04,9.175e+03,4.504e+03,2.837e+04
144.4,1.336e+04,9.068e+03,4.524e+03,2.696e+04
146.0,1.173e+04,8.964e+03,3.952e+03,2.465e+04
147.6,1.008e+04,8.527e+03,3.358e+03,2.196e+04
149.1,9.178e+03,8.192e+03,3.344e+03,2.071e+04
150.7,7.466e+03,7.352e+03,3.115e+03,1.793e+04
152.3,4.458e+03,6.461e+03,2.416e+03,1.334e+04
153.8,2.505e+03,5.524e+03,1.704e+03,9.733e+03
155.4,1.432e+03,4.106e+03,1.056e+03,6.594e+03
157.0,1.289e+03,3.448e+03,7.075e+02,5.444e+03
158.5,1.742e+03,3.077e+03,4.649e+02,5.284e+03
160.1,2.676e+03,2.787e+03,3.325e+02,5.795e+03
161.7,3.703e+03,2.533e+03,3.762e+02,6.612e+03
163.3,4.348e+03,2.675e+03,4.975e+02,7.520e+03
164.8,5.338e+03,3.163e+03,7.168e+02,9.218e+03
166.4,6.005e+03,3.731e+03,9.642e+02,1.070e+04
168.0,6.168e+03,4.070e+03,1.158e+03,1.140e+04
169.5,5.801e+03,3.928e+03,1.299e+03,1.103e+04
171.1,5.857e+03,3.650e+03,1.637e+03,1.114e+04
172.7,6.363e+03,3.259e+03,2.066e+03,1.169e+04
174.2,5.702e+03,2.869e+03,2.039e+03,1.061e+04
175.8,4.926e+03,2.561e+03,1.790e+03,9.276e+03
177.4,4.138e+03,2.293e+03,1.477e+03,7.908e+03
179.0,3.605e+03,1.900e+03,1.221e+03,6.726e+03
180.5,3.305e+03,1.547e+03,1.055e+03,5.907e+03
182.1,3.055e+03,1.364e+03,9.063e+02,5.325e+03
183.7,2.709e+03,1.310e+03,8.274e+02,4.847e+03
185.2,2.425e+03,1.304e+03,7.512e+02,4.480e+03
186.8,2.194e+03,1.310e+03,7.174e+02,4.222e+03
188.4,2.158e+03,1.304e+03,7.228e+02,4.185e+03
189.9,2.343e+03,1.310e+03,7.472e+02,4.401e+03
191.5,2.558e+03,1.311e+03,7.758e+02,4.645e+03
193.1,2.752e+03,1.349e+03,8.100e+02,4.911e+03
194.6,3.023e+03,1.446e+03,8.844e+02,5.353e+03
196.2,3.121e+03,1.550e+03,8.367e+02,5.508e+03
197.8,3.209e+03,1.637e+03,8.094e+02,5.655e+03
199.4,3.536e+03,1.733e+03,8.619e+02,6.131e+03
