freq,psd_x,psd_y,psd_z,psd_xyz
166.5,1.484e+03,2.414e+03,1.267e+03,5.166e+03
168.1,1.134e+03,2.071e+03,1.095e+03,4.300e+03
169.7,1.018e+03,2.074e+03,1.113e+03,4.205e+03
171.3,1.226e+03,1.672e+03,7.844e+02,3.682e+03
172.8,1.986e+03,1.811e+03,7.984e+02,4.595e+03
174.4,2.344e+03,1.980e+03,8.305e+02,5.154e+03
176.0,1.984e+03,1.969e+03,7.741e+02,4.727e+03
177.5,1.905e+03,1.558e+03,6.488e+02,4.112e+03
179.1,1.839e+03,1.876e+03,7.847e+02,4.500e+03
180.7,1.629e+03,1.603e+03,7.125e+02,3.945e+03
182.3,1.671e+03,1.930e+03,8.165e+02,4.418e+03
183.8,1.790e+03,2.178e+03,8.675e+02,4.836e+03
185.4,1.896e+03,2.517e+03,9.111e+02,5.325e+03
187.0,2.139e+03,2.429e+03,8.796e+02,5.448e+03
188.5,2.284e+03,2.120e+03,7.723e+02,5.177e+03
190.1,2.427e+03,1.858e+03,7.208e+02,5.006e+03
191.7,2.208e+03,1.803e+03,6.811e+02,4.692e+03
193.2,2.841e+03,1.910e+03,7.331e+02,5.484e+03
194.8,3.373e+03,1.889e+03,7.855e+02,6.047e+03
196.4,3.421e+03,2.252e+03,8.660e+02,6.539e+03
198.0,3.960e+03,2.140e+03,9.115e+02,7.011e+03
199.5,5.647e+03,1.702e+03,9.680e+02,8.318e+03
