freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.472e+02,6.803e+00,9.491e+00,2.635e+02
1.6,1.766e+02,2.190e+01,3.325e+01,2.318e+02
3.1,6.080e+01,2.426e+01,3.543e+01,1.205e+02
4.7,3.887e+02,2.419e+01,3.905e+01,4.520e+02
6.3,1.209e+03,2.528e+01,4.065e+01,1.275e+03
7.8,1.991e+03,2.707e+01,3.663e+01,2.055e+03
9.4,2.858e+03,2.574e+01,3.942e+01,2.924e+03
11.0,3.793e+03,2.608e+01,4.511e+01,3.865e+03
12.5,4.505e+03,2.782e+01,4.345e+01,4.577e+03
14.1,5.711e+03,2.783e+01,4.225e+01,5.781e+03
15.7,7.492e+03,3.002e+01,4.390e+01,7.566e+03
17.2,9.955e+03,3.516e+01,4.098e+01,1.003e+04
18.8,1.228e+04,2.852e+01,4.660e+01,1.236e+04
20.4,1.436e+04,2.686e+01,4.574e+01,1.443e+04
21.9,1.649e+04,2.760e+01,4.471e+01,1.657e+04
23.5,1.839e+04,3.214e+01,4.662e+01,1.847e+04
25.1,2.270e+04,3.125e+01,4.255e+01,2.277e+04
26.7,2.667e+04,3.645e+01,4.267e+01,2.675e+04
28.2,3.000e+04,6.463e+01,4.544e+01,3.011e+04
29.8,3.494e+04,8.511e+01,7.600e+01,3.510e+04
31.4,4.023e+04,1.001e+02,1.313e+02,4.046e+04
32.9,4.619e+04,1.228e+02,1.521e+02,4.647e+04
34.5,5.966e+04,1.129e+02,1.236e+02,5.989e+04
36.1,7.172e+04,7.509e+01,1.182e+02,7.191e+04
37.6,8.724e+04,5.647e+01,1.960e+02,8.750e+04
39.2,1.012e+05,6.032e+01,3.148e+02,1.016e+05
40.8,1.283e+05,6.438e+01,5.333e+02,1.289e+05
42.3,1.631e+05,6.242e+01,9.684e+02,1.642e+05
43.9,2.348e+05,8.355e+01,2.193e+03,2.371e+05
45.5,2.918e+05,1.352e+02,4.200e+03,2.961e+05
47.0,3.782e+05,3.048e+02,6.761e+03,3.852e+05
48.6,4.274e+05,4.543e+02,8.545e+03,4.364e+05
50.2,4.356e+05,6.077e+02,6.927e+03,4.432e+05
51.7,5.436e+05,9.272e+02,5.715e+03,5.502e+05
53.3,4.476e+05,1.473e+03,2.750e+03,4.518e+05
54.9,3.991e+05,3.145e+03,8.925e+02,4.031e+05
56.4,4.140e+05,5.022e+03,4.660e+02,4.195e+05
58.0,2.703e+05,3.557e+03,4.921e+02,2.744e+05
59.6,1.789e+05,1.765e+03,7.132e+02,1.814e+05
61.1,1.442e+05,1.130e+03,9.771e+02,1.463e+05
62.7,1.341e+05,9.269e+02,1.165e+03,1.362e+05
64.3,1.164e+05,6.714e+02,1.059e+03,1.181e+05
65.8,1.332e+05,6.556e+02,1.232e+03,1.351e+05
67.4,1.181e+05,6.613e+02,9.395e+02,1.197e+05
69.0,9.840e+04,9.231e+02,8.074e+02,1.001e+05
70.6,8.575e+04,1.224e+03,7.781e+02,8.775e+04
72.1,6.373e+04,9.810e+02,5.166e+02,6.523e+04
73.7,4.678e+04,8.702e+02,4.866e+02,4.814e+04
75.3,3.230e+04,1.084e+03,5.161e+02,3.391e+04
76.8,2.583e+04,1.550e+03,6.045e+02,2.799e+04
78.4,2.254e+04,1.923e+03,6.475e+02,2.511e+04
80.0,2.367e+04,2.939e+03,8.170e+02,2.742e+04
81.5,3.674e+04,6.037e+03,1.254e+03,4.403e+04
83.1,5.396e+04,1.047e+04,1.643e+03,6.608e+04
84.7,5.795e+04,1.198e+04,1.412e+03,7.134e+04
86.2,5.687e+04,1.119e+04,9.703e+02,6.903e+04
87.8,5.400e+04,9.361e+03,8.285e+02,6.419e+04
89.4,5.571e+04,7.344e+03,7.313e+02,6.379e+04
90.9,4.412e+04,4.776e+03,8.028e+02,4.970e+04
92.5,4.239e+04,3.846e+03,1.156e+03,4.739e+04
94.1,3.120e+04,2.506e+03,1.327e+03,3.503e+04
95.6,2.424e+04,2.311e+03,1.452e+03,2.801e+04
97.2,1.607e+04,2.817e+03,1.568e+03,2.045e+04
98.8,1.198e+04,4.254e+03,1.948e+03,1.819e+04
100.3,1.356e+04,4.083e+03,2.447e+03,2.009e+04
101.9,1.863e+04,4.210e+03,3.084e+03,2.593e+04
103.5,2.887e+04,4.669e+03,3.621e+03,3.716e+04
105.0,4.019e+04,4.610e+03,4.277e+03,4.908e+04
106.6,5.336e+04,4.127e+03,5.526e+03,6.301e+04
108.2,6.068e+04,3.326e+03,6.098e+03,7.011e+04
