freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.815e+02,1.060e+01,1.900e+01,4.111e+02
1.6,2.913e+02,2.567e+01,4.597e+01,3.630e+02
3.1,1.259e+02,2.631e+01,4.789e+01,2.002e+02
4.7,4.494e+02,2.754e+01,4.965e+01,5.266e+02
6.3,1.283e+03,2.934e+01,4.835e+01,1.361e+03
7.8,2.014e+03,3.036e+01,4.421e+01,2.088e+03
9.4,2.861e+03,2.702e+01,4.470e+01,2.933e+03
11.0,3.882e+03,2.680e+01,4.607e+01,3.955e+03
12.5,5.106e+03,3.179e+01,4.886e+01,5.187e+03
14.1,6.625e+03,3.308e+01,4.864e+01,6.707e+03
15.7,8.661e+03,3.571e+01,4.713e+01,8.744e+03
17.3,1.059e+04,3.746e+01,4.780e+01,1.068e+04
18.8,1.292e+04,3.243e+01,5.074e+01,1.300e+04
20.4,1.476e+04,3.702e+01,5.002e+01,1.484e+04
22.0,1.804e+04,4.730e+01,4.961e+01,1.813e+04
23.5,2.162e+04,3.987e+01,5.406e+01,2.172e+04
25.1,2.569e+04,3.387e+01,4.864e+01,2.578e+04
26.7,3.063e+04,3.698e+01,5.390e+01,3.072e+04
28.2,3.454e+04,5.276e+01,1.092e+02,3.470e+04
29.8,4.048e+04,6.661e+01,1.823e+02,4.072e+04
31.4,5.008e+04,9.515e+01,2.012e+02,5.038e+04
32.9,6.091e+04,1.225e+02,1.610e+02,6.119e+04
34.5,7.442e+04,1.281e+02,1.511e+02,7.470e+04
36.1,9.358e+04,1.051e+02,2.824e+02,9.396e+04
37.6,1.128e+05,6.444e+01,6.341e+02,1.135e+05
39.2,1.572e+05,5.839e+01,1.342e+03,1.586e+05
40.8,2.134e+05,7.110e+01,2.714e+03,2.162e+05
42.3,3.075e+05,7.715e+01,5.883e+03,3.135e+05
43.9,3.853e+05,6.876e+01,9.883e+03,3.953e+05
45.5,4.578e+05,2.048e+02,1.396e+04,4.720e+05
47.0,5.678e+05,7.043e+02,2.107e+04,5.896e+05
48.6,7.004e+05,1.399e+03,2.590e+04,7.277e+05
50.2,7.390e+05,2.365e+03,1.952e+04,7.609e+05
51.8,6.735e+05,3.867e+03,1.039e+04,6.878e+05
53.3,6.944e+05,9.512e+03,6.654e+03,7.106e+05
54.9,5.320e+05,8.024e+03,4.325e+03,5.443e+05
56.5,2.843e+05,3.691e+03,1.987e+03,2.900e+05
58.0,1.655e+05,2.023e+03,1.639e+03,1.691e+05
59.6,1.149e+05,1.696e+03,2.333e+03,1.189e+05
61.2,7.961e+04,1.188e+03,2.973e+03,8.377e+04
62.7,5.575e+04,8.131e+02,3.713e+03,6.028e+04
64.3,4.727e+04,8.228e+02,6.004e+03,5.410e+04
65.9,4.088e+04,7.940e+02,7.599e+03,4.927e+04
67.4,3.170e+04,5.703e+02,7.615e+03,3.989e+04
69.0,2.828e+04,3.336e+02,7.488e+03,3.610e+04
70.6,2.246e+04,1.484e+02,5.925e+03,2.853e+04
72.1,2.164e+04,9.364e+01,5.569e+03,2.730e+04
73.7,1.644e+04,8.635e+01,5.055e+03,2.158e+04
75.3,1.564e+04,1.096e+02,5.614e+03,2.136e+04
76.8,2.220e+04,2.578e+02,6.686e+03,2.914e+04
78.4,5.120e+04,1.277e+03,1.167e+04,6.415e+04
80.0,1.074e+05,4.391e+03,1.909e+04,1.308e+05
81.5,1.802e+05,7.764e+03,2.498e+04,2.129e+05
83.1,2.571e+05,8.448e+03,2.641e+04,2.920e+05
84.7,3.259e+05,7.485e+03,2.632e+04,3.597e+05
86.3,3.729e+05,7.098e+03,2.566e+04,4.057e+05
87.8,4.321e+05,8.358e+03,2.671e+04,4.671e+05
89.4,4.650e+05,9.724e+03,2.702e+04,5.018e+05
91.0,4.376e+05,9.800e+03,2.406e+04,4.715e+05
92.5,4.148e+05,9.053e+03,2.130e+04,4.451e+05
94.1,3.396e+05,6.730e+03,1.633e+04,3.626e+05
95.7,3.205e+05,4.708e+03,1.444e+04,3.397e+05
97.2,4.276e+05,5.791e+03,1.973e+04,4.532e+05
98.8,3.847e+05,8.127e+03,2.028e+04,4.131e+05
100.4,3.334e+05,1.119e+04,2.047e+04,3.651e+05
101.9,3.425e+05,1.489e+04,2.264e+04,3.801e+05
103.5,3.529e+05,1.843e+04,2.343e+04,3.947e+05
105.1,2.954e+05,1.579e+04,1.792e+04,3.291e+05
106.6,2.879e+05,1.635e+04,1.681e+04,3.211e+05
108.2,3.131e+05,1.845e+04,1.838e+04,3.499e+05
109.8,3.112e+05,1.971e+04,1.929e+04,3.502e+05
111.3,2.346e+05,1.790e+04,1.566e+04,2.681e+05
112.9,2.471e+05,2.323e+04,1.686e+04,2.872e+05
114.5,2.710e+05,2.817e+04,1.770e+04,3.169e+05
116.0,2.999e+05,3.103e+04,1.740e+04,3.483e+05
117.6,2.923e+05,2.708e+04,1.536e+04,3.348e+05
119.2,2.644e+05,2.358e+04,1.323e+04,3.012e+05
120.8,2.883e+05,2.535e+04,1.459e+04,3.282e+05
122.3,3.209e+05,2.776e+04,1.739e+04,3.660e+05
123.9,2.555e+05,2.184e+04,1.545e+04,2.928e+05
125.5,3.290e+05,2.600e+04,2.121e+04,3.762e+05
127.0,3.326e+05,2.175e+04,2.316e+04,3.775e+05
128.6,3.515e+05,1.794e+04,2.795e+04,3.974e+05
130.2,3.669e+05,1.328e+04,3.302e+04,4.132e+05
131.7,3.267e+05,7.192e+03,3.370e+04,3.676e+05
133.3,1.745e+05,2.718e+03,1.884e+04,1.961e+05
134.9,2.456e+04,4.912e+02,2.377e+03,2.743e+04
136.4,2.243e+04,4.045e+02,2.431e+03,2.526e+04
138.0,2.024e+04,3.967e+02,2.658e+03,2.330e+04
139.6,1.890e+04,5.476e+02,2.931e+03,2.238e+04
141.1,1.930e+04,9.477e+02,3.239e+03,2.349e+04
142.7,1.853e+04,1.276e+03,3.119e+03,2.292e+04
144.3,1.567e+04,1.305e+03,2.709e+03,1.968e+04
145.8,1.307e+04,1.149e+03,2.380e+03,1.660e+04
147.4,1.173e+04,9.621e+02,2.260e+03,1.495e+04
149.0,1.100e+04,8.490e+02,2.288e+03,1.414e+04
150.5,8.694e+03,8.681e+02,2.030e+03,1.159e+04
152.1,5.658e+03,1.207e+03,1.565e+03,8.429e+03
153.7,2.929e+03,1.454e+03,1.047e+03,5.430e+03
155.3,1.523e+03,1.901e+03,6.811e+02,4.105e+03
156.8,1.530e+03,1.871e+03,5.026e+02,3.903e+03
158.4,1.801e+03,1.550e+03,4.411e+02,3.792e+03
160.0,2.745e+03,1.871e+03,5.438e+02,5.159e+03
161.5,3.893e+03,1.891e+03,6.331e+02,6.417e+03
163.1,4.756e+03,1.572e+03,7.178e+02,7.046e+03
164.7,5.839e+03,1.666e+03,8.822e+02,8.387e+03
166.2,6.602e+03,1.996e+03,1.078e+03,9.675e+03
167.8,6.884e+03,2.295e+03,1.324e+03,1.050e+04
169.4,6.749e+03,2.859e+03,1.520e+03,1.113e+04
170.9,7.033e+03,3.324e+03,1.897e+03,1.225e+04
172.5,7.866e+03,3.445e+03,2.334e+03,1.365e+04
174.1,7.920e+03,4.291e+03,2.581e+03,1.479e+04
175.6,6.997e+03,4.217e+03,2.479e+03,1.369e+04
177.2,7.146e+03,5.331e+03,2.847e+03,1.532e+04
178.8,6.630e+03,5.582e+03,2.668e+03,1.488e+04
180.3,5.760e+03,5.459e+03,2.163e+03,1.338e+04
