freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.958e+02,1.479e+01,1.965e+01,3.303e+02
1.6,1.797e+02,3.893e+01,4.614e+01,2.648e+02
3.1,3.771e+01,4.444e+01,5.666e+01,1.388e+02
4.7,3.739e+02,3.958e+01,5.069e+01,4.642e+02
6.3,1.195e+03,3.664e+01,4.525e+01,1.277e+03
7.9,1.879e+03,3.477e+01,4.419e+01,1.958e+03
9.4,2.735e+03,3.725e+01,4.739e+01,2.820e+03
11.0,3.843e+03,3.480e+01,4.479e+01,3.923e+03
12.6,4.836e+03,3.249e+01,4.210e+01,4.910e+03
14.2,6.005e+03,3.488e+01,4.196e+01,6.082e+03
15.7,7.873e+03,3.509e+01,4.266e+01,7.951e+03
17.3,9.992e+03,3.385e+01,4.548e+01,1.007e+04
18.9,1.182e+04,3.133e+01,4.013e+01,1.189e+04
20.5,1.421e+04,2.948e+01,3.825e+01,1.428e+04
22.0,1.683e+04,3.364e+01,3.480e+01,1.690e+04
23.6,1.979e+04,3.715e+01,4.023e+01,1.987e+04
25.2,2.375e+04,3.159e+01,4.267e+01,2.382e+04
26.7,2.818e+04,3.029e+01,4.450e+01,2.825e+04
28.3,3.128e+04,3.348e+01,6.828e+01,3.138e+04
29.9,3.653e+04,4.619e+01,1.083e+02,3.669e+04
31.5,4.522e+04,7.975e+01,1.407e+02,4.544e+04
33.0,5.509e+04,1.495e+02,1.502e+02,5.539e+04
34.6,6.734e+04,2.153e+02,1.193e+02,6.767e+04
36.2,8.272e+04,2.138e+02,1.545e+02,8.308e+04
37.8,1.019e+05,1.491e+02,4.019e+02,1.025e+05
39.3,1.268e+05,1.196e+02,9.441e+02,1.278e+05
40.9,1.701e+05,1.692e+02,1.918e+03,1.722e+05
42.5,2.444e+05,2.718e+02,3.938e+03,2.486e+05
44.0,3.530e+05,3.608e+02,8.673e+03,3.620e+05
45.6,4.754e+05,3.439e+02,1.613e+04,4.919e+05
47.2,5.539e+05,2.372e+02,2.330e+04,5.774e+05
48.8,6.124e+05,2.962e+02,2.511e+04,6.378e+05
50.3,5.566e+05,2.520e+02,1.534e+04,5.722e+05
51.9,4.646e+05,6.316e+02,7.052e+03,4.723e+05
53.5,4.112e+05,1.705e+03,5.513e+03,4.184e+05
55.1,3.288e+05,2.492e+03,5.435e+03,3.367e+05
56.6,2.001e+05,2.137e+03,3.238e+03,2.055e+05
58.2,1.066e+05,1.564e+03,2.615e+03,1.108e+05
59.8,6.678e+04,1.265e+03,3.395e+03,7.144e+04
61.4,4.816e+04,1.192e+03,4.062e+03,5.342e+04
62.9,4.059e+04,1.155e+03,4.551e+03,4.630e+04
64.5,4.065e+04,1.240e+03,5.849e+03,4.774e+04
66.1,4.103e+04,1.339e+03,7.012e+03,4.938e+04
67.6,3.981e+04,1.188e+03,7.341e+03,4.834e+04
69.2,3.754e+04,9.989e+02,7.184e+03,4.572e+04
70.8,3.433e+04,8.535e+02,6.496e+03,4.168e+04
72.4,2.931e+04,6.666e+02,5.649e+03,3.563e+04
73.9,2.151e+04,5.501e+02,6.176e+03,2.824e+04
75.5,2.047e+04,5.353e+02,9.616e+03,3.062e+04
77.1,3.115e+04,1.042e+03,1.447e+04,4.667e+04
78.7,5.978e+04,2.068e+03,2.000e+04,8.185e+04
80.2,1.209e+05,3.126e+03,2.500e+04,1.490e+05
81.8,2.038e+05,4.679e+03,2.937e+04,2.379e+05
83.4,2.713e+05,6.866e+03,3.177e+04,3.099e+05
84.9,3.311e+05,9.082e+03,3.244e+04,3.727e+05
86.5,3.666e+05,1.036e+04,3.141e+04,4.083e+05
88.1,3.890e+05,1.108e+04,3.040e+04,4.304e+05
89.7,3.859e+05,1.128e+04,2.852e+04,4.257e+05
91.2,3.643e+05,1.055e+04,2.566e+04,4.005e+05
92.8,3.391e+05,9.755e+03,2.342e+04,3.723e+05
