freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.630e+01,3.276e+01,3.900e+02,4.691e+02
1.6,5.155e+01,4.456e+01,2.774e+02,3.735e+02
3.1,4.019e+01,3.812e+01,1.024e+02,1.807e+02
4.7,4.182e+01,3.826e+01,4.336e+02,5.137e+02
6.3,4.326e+01,3.770e+01,1.200e+03,1.281e+03
7.8,4.016e+01,3.922e+01,1.893e+03,1.972e+03
9.4,3.782e+01,3.955e+01,2.826e+03,2.904e+03
11.0,3.907e+01,4.078e+01,4.057e+03,4.137e+03
12.5,4.156e+01,4.197e+01,5.734e+03,5.818e+03
14.1,4.240e+01,4.899e+01,8.102e+03,8.194e+03
15.7,4.735e+01,5.826e+01,1.083e+04,1.094e+04
17.2,7.630e+01,6.096e+01,1.342e+04,1.356e+04
18.8,7.964e+01,5.028e+01,1.673e+04,1.686e+04
20.4,7.475e+01,4.615e+01,2.137e+04,2.149e+04
21.9,7.926e+01,4.800e+01,2.727e+04,2.739e+04
23.5,9.101e+01,4.968e+01,3.623e+04,3.637e+04
25.1,1.229e+02,8.152e+01,4.344e+04,4.365e+04
26.6,1.473e+02,1.447e+02,5.044e+04,5.073e+04
28.2,4.429e+02,2.856e+02,6.352e+04,6.425e+04
29.8,1.023e+03,5.859e+02,8.359e+04,8.519e+04
31.4,1.874e+03,1.166e+03,1.255e+05,1.285e+05
32.9,3.171e+03,1.965e+03,1.867e+05,1.919e+05
34.5,6.202e+03,3.457e+03,2.920e+05,3.016e+05
36.1,1.536e+04,5.631e+03,5.229e+05,5.439e+05
37.6,3.445e+04,6.766e+03,8.663e+05,9.075e+05
39.2,4.704e+04,8.063e+03,9.319e+05,9.870e+05
40.8,4.980e+04,9.991e+03,8.054e+05,8.651e+05
42.3,4.862e+04,1.052e+04,6.806e+05,7.397e+05
43.9,4.178e+04,8.806e+03,5.169e+05,5.675e+05
45.5,3.564e+04,7.724e+03,3.886e+05,4.319e+05
47.0,2.992e+04,1.180e+04,2.898e+05,3.315e+05
48.6,3.318e+04,2.150e+04,2.530e+05,3.077e+05
50.2,2.903e+04,1.827e+04,1.937e+05,2.410e+05
51.7,2.820e+04,1.469e+04,1.730e+05,2.159e+05
53.3,2.586e+04,1.156e+04,1.470e+05,1.844e+05
54.9,2.736e+04,8.986e+03,1.232e+05,1.595e+05
56.4,2.835e+04,7.885e+03,1.108e+05,1.471e+05
58.0,2.770e+04,6.022e+03,9.249e+04,1.262e+05
59.6,2.884e+04,5.739e+03,7.536e+04,1.099e+05
61.1,2.809e+04,6.783e+03,6.058e+04,9.545e+04
62.7,2.745e+04,1.044e+04,5.127e+04,8.916e+04
64.3,2.759e+04,1.517e+04,4.458e+04,8.734e+04
65.8,3.112e+04,2.326e+04,4.045e+04,9.484e+04
67.4,3.099e+04,2.975e+04,3.559e+04,9.632e+04
69.0,2.905e+04,2.685e+04,3.008e+04,8.598e+04
70.5,4.039e+04,2.759e+04,3.224e+04,1.002e+05
72.1,5.060e+04,2.540e+04,2.870e+04,1.047e+05
73.7,7.429e+04,2.719e+04,2.824e+04,1.297e+05
75.2,8.429e+04,2.876e+04,2.613e+04,1.392e+05
76.8,8.260e+04,3.686e+04,2.844e+04,1.479e+05
78.4,7.676e+04,4.657e+04,3.064e+04,1.540e+05
79.9,7.445e+04,6.631e+04,3.664e+04,1.774e+05
81.5,8.468e+04,9.433e+04,4.284e+04,2.218e+05
