freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.113e+01,3.215e+01,3.986e+02,4.719e+02
1.6,3.748e+01,3.883e+01,2.573e+02,3.337e+02
3.1,2.141e+01,2.772e+01,5.642e+01,1.056e+02
4.7,2.262e+01,2.807e+01,4.201e+02,4.708e+02
6.3,2.557e+01,2.553e+01,1.305e+03,1.356e+03
7.9,2.294e+01,2.419e+01,1.979e+03,2.027e+03
9.4,2.351e+01,2.301e+01,3.050e+03,3.097e+03
11.0,3.548e+01,2.369e+01,4.233e+03,4.292e+03
12.6,5.847e+01,2.381e+01,5.469e+03,5.551e+03
14.2,5.151e+01,2.503e+01,7.353e+03,7.429e+03
15.7,4.447e+01,2.698e+01,9.392e+03,9.463e+03
17.3,5.744e+01,3.359e+01,1.197e+04,1.206e+04
18.9,4.160e+01,5.168e+01,1.537e+04,1.546e+04
20.4,4.344e+01,5.759e+01,2.012e+04,2.022e+04
22.0,4.238e+01,1.249e+02,2.577e+04,2.594e+04
23.6,5.262e+01,2.170e+02,3.158e+04,3.185e+04
25.2,7.171e+01,1.069e+02,3.529e+04,3.547e+04
26.7,7.736e+01,5.683e+01,4.160e+04,4.173e+04
28.3,2.815e+02,1.205e+02,5.385e+04,5.425e+04
29.9,5.823e+02,2.970e+02,7.135e+04,7.223e+04
31.4,8.378e+02,5.969e+02,9.865e+04,1.001e+05
33.0,1.380e+03,9.716e+02,1.405e+05,1.428e+05
34.6,2.777e+03,1.560e+03,2.130e+05,2.173e+05
36.2,7.176e+03,2.521e+03,3.534e+05,3.631e+05
37.7,2.356e+04,3.609e+03,6.540e+05,6.812e+05
39.3,4.454e+04,4.244e+03,8.710e+05,9.198e+05
40.9,5.595e+04,5.055e+03,8.504e+05,9.114e+05
42.5,6.112e+04,5.976e+03,7.437e+05,8.108e+05
44.0,5.582e+04,5.584e+03,5.666e+05,6.280e+05
45.6,4.622e+04,5.205e+03,4.081e+05,4.596e+05
47.2,3.835e+04,7.835e+03,3.137e+05,3.599e+05
48.7,3.780e+04,9.743e+03,2.706e+05,3.181e+05
50.3,3.397e+04,7.402e+03,2.254e+05,2.668e+05
51.9,3.055e+04,6.518e+03,1.866e+05,2.237e+05
53.5,2.795e+04,5.850e+03,1.572e+05,1.910e+05
55.0,2.968e+04,7.751e+03,1.297e+05,1.672e+05
56.6,3.016e+04,6.983e+03,1.038e+05,1.409e+05
58.2,2.654e+04,4.460e+03,8.144e+04,1.124e+05
59.7,2.460e+04,5.756e+03,6.856e+04,9.891e+04
61.3,2.511e+04,8.635e+03,5.994e+04,9.369e+04
62.9,2.568e+04,1.348e+04,5.359e+04,9.274e+04
64.5,2.421e+04,2.431e+04,4.922e+04,9.773e+04
66.0,2.294e+04,3.583e+04,4.914e+04,1.079e+05
67.6,2.126e+04,4.103e+04,4.691e+04,1.092e+05
69.2,1.988e+04,4.159e+04,4.376e+04,1.052e+05
70.8,1.993e+04,4.136e+04,4.208e+04,1.034e+05
72.3,2.096e+04,4.149e+04,4.174e+04,1.042e+05
73.9,2.710e+04,4.262e+04,4.293e+04,1.127e+05
75.5,4.180e+04,4.569e+04,4.500e+04,1.325e+05
77.0,4.521e+04,5.024e+04,4.744e+04,1.429e+05
78.6,3.416e+04,5.542e+04,4.941e+04,1.390e+05
80.2,2.522e+04,6.472e+04,5.221e+04,1.421e+05
81.8,2.244e+04,7.807e+04,5.474e+04,1.552e+05
83.3,2.216e+04,9.287e+04,5.540e+04,1.704e+05
84.9,3.038e+04,1.067e+05,5.249e+04,1.896e+05
86.5,4.545e+04,1.185e+05,4.822e+04,2.122e+05
88.0,5.969e+04,1.315e+05,4.560e+04,2.368e+05
89.6,6.843e+04,1.433e+05,4.392e+04,2.556e+05
91.2,6.466e+04,1.436e+05,3.998e+04,2.483e+05
92.8,4.998e+04,1.322e+05,3.463e+04,2.168e+05
94.3,3.353e+04,1.173e+05,3.019e+04,1.811e+05
95.9,2.052e+04,9.973e+04,2.677e+04,1.470e+05
97.5,1.294e+04,8.225e+04,2.479e+04,1.200e+05
99.1,8.535e+03,7.150e+04,2.133e+04,1.014e+05
100.6,8.084e+03,5.817e+04,1.585e+04,8.210e+04
102.2,5.588e+03,4.178e+04,1.184e+04,5.920e+04
103.8,3.268e+03,3.129e+04,7.854e+03,4.241e+04
105.3,3.085e+03,2.310e+04,4.703e+03,3.089e+04
106.9,4.782e+03,1.687e+04,2.777e+03,2.443e+04
108.5,8.596e+03,1.117e+04,2.384e+03,2.215e+04
110.1,1.090e+04,8.925e+03,3.413e+03,2.324e+04
111.6,1.095e+04,8.166e+03,4.366e+03,2.348e+04
113.2,1.014e+04,7.238e+03,5.266e+03,2.265e+04
114.8,8.181e+03,7.191e+03,6.019e+03,2.139e+04
116.3,5.916e+03,7.809e+03,6.143e+03,1.987e+04
117.9,4.785e+03,7.168e+03,6.320e+03,1.827e+04
119.5,4.004e+03,6.893e+03,6.785e+03,1.768e+04
121.1,3.619e+03,7.655e+03,7.064e+03,1.834e+04
122.6,3.678e+03,8.918e+03,7.461e+03,2.006e+04
124.2,3.440e+03,1.053e+04,7.858e+03,2.182e+04
125.8,2.726e+03,1.229e+04,8.267e+03,2.328e+04
127.4,2.577e+03,1.675e+04,9.032e+03,2.836e+04
128.9,2.613e+03,2.276e+04,9.417e+03,3.479e+04
130.5,2.272e+03,2.844e+04,9.048e+03,3.976e+04
132.1,1.461e+03,2.841e+04,7.094e+03,3.697e+04
133.6,9.061e+02,9.595e+03,2.081e+03,1.258e+04
135.2,7.821e+02,1.401e+03,2.738e+02,2.457e+03
136.8,7.101e+02,1.148e+03,2.839e+02,2.142e+03
138.4,6.900e+02,1.114e+03,3.374e+02,2.142e+03
139.9,6.618e+02,9.538e+02,3.774e+02,1.993e+03
141.5,7.805e+02,9.508e+02,3.829e+02,2.114e+03
143.1,8.960e+02,1.061e+03,3.471e+02,2.304e+03
144.6,8.336e+02,9.965e+02,3.432e+02,2.173e+03
146.2,5.852e+02,8.121e+02,3.595e+02,1.757e+03
147.8,5.196e+02,8.390e+02,3.173e+02,1.676e+03
149.4,3.693e+02,8.608e+02,5.030e+02,1.733e+03
150.9,2.580e+02,9.837e+02,8.058e+02,2.047e+03
152.5,2.177e+02,1.362e+03,9.771e+02,2.557e+03
154.1,1.374e+02,2.369e+03,1.186e+03,3.692e+03
155.7,1.286e+02,3.492e+03,1.356e+03,4.976e+03
157.2,1.501e+02,3.667e+03,1.325e+03,5.142e+03
158.8,1.774e+02,3.610e+03,1.286e+03,5.074e+03
160.4,2.221e+02,3.913e+03,1.296e+03,5.431e+03
161.9,2.505e+02,4.396e+03,1.339e+03,5.985e+03
163.5,3.021e+02,4.736e+03,1.208e+03,6.245e+03
165.1,3.632e+02,4.718e+03,1.031e+03,6.112e+03
166.7,4.284e+02,4.407e+03,9.765e+02,5.812e+03
168.2,4.943e+02,4.440e+03,1.010e+03,5.945e+03
169.8,4.693e+02,4.519e+03,9.976e+02,5.986e+03
171.4,4.749e+02,4.503e+03,9.695e+02,5.947e+03
172.9,5.936e+02,4.483e+03,1.031e+03,6.108e+03
174.5,6.499e+02,4.191e+03,9.328e+02,5.774e+03
176.1,6.515e+02,3.926e+03,8.093e+02,5.387e+03
177.7,6.743e+02,3.300e+03,7.316e+02,4.706e+03
179.2,6.921e+02,2.896e+03,6.597e+02,4.247e+03
180.8,6.845e+02,2.895e+03,6.511e+02,4.231e+03
182.4,6.459e+02,2.815e+03,6.567e+02,4.118e+03
184.0,6.072e+02,2.554e+03,6.444e+02,3.805e+03
185.5,6.269e+02,2.374e+03,6.001e+02,3.601e+03
187.1,7.795e+02,2.397e+03,5.651e+02,3.741e+03
188.7,8.260e+02,2.384e+03,5.243e+02,3.735e+03
190.2,7.022e+02,1.873e+03,4.369e+02,3.012e+03
191.8,6.543e+02,1.590e+03,4.008e+02,2.645e+03
193.4,7.329e+02,1.397e+03,4.586e+02,2.589e+03
195.0,7.772e+02,9.705e+02,5.329e+02,2.281e+03
196.5,6.701e+02,6.683e+02,5.734e+02,1.912e+03
198.1,7.169e+02,6.830e+02,5.697e+02,1.969e+03
199.7,8.647e+02,7.798e+02,5.747e+02,2.219e+03
