freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.418e+01,5.917e+01,6.803e+02,7.636e+02
1.6,2.659e+01,5.730e+01,4.072e+02,4.911e+02
3.1,1.760e+01,3.188e+01,4.250e+01,9.199e+01
4.7,2.161e+01,3.559e+01,3.715e+02,4.287e+02
6.3,2.171e+01,3.546e+01,1.231e+03,1.289e+03
7.8,1.823e+01,4.404e+01,2.072e+03,2.134e+03
9.4,2.157e+01,3.563e+01,3.116e+03,3.173e+03
11.0,3.658e+01,3.373e+01,4.223e+03,4.293e+03
12.5,4.907e+01,3.465e+01,5.707e+03,5.791e+03
14.1,4.268e+01,3.776e+01,8.049e+03,8.129e+03
15.7,3.026e+01,5.241e+01,9.643e+03,9.726e+03
17.3,3.763e+01,6.515e+01,1.247e+04,1.257e+04
18.8,3.100e+01,1.151e+02,1.679e+04,1.693e+04
20.4,3.013e+01,1.572e+02,2.219e+04,2.238e+04
22.0,3.716e+01,2.011e+02,2.885e+04,2.908e+04
23.5,4.742e+01,3.694e+02,3.748e+04,3.790e+04
25.1,4.311e+01,3.195e+02,4.296e+04,4.332e+04
26.7,4.806e+01,1.694e+02,4.912e+04,4.934e+04
28.2,1.701e+02,3.125e+02,6.681e+04,6.729e+04
29.8,3.038e+02,7.717e+02,9.261e+04,9.368e+04
31.4,4.650e+02,1.428e+03,1.297e+05,1.316e+05
32.9,7.165e+02,2.270e+03,1.923e+05,1.953e+05
34.5,1.430e+03,4.297e+03,3.187e+05,3.245e+05
36.1,4.988e+03,1.076e+04,6.121e+05,6.279e+05
37.6,1.507e+04,2.725e+04,1.223e+06,1.265e+06
39.2,2.507e+04,4.442e+04,1.666e+06,1.735e+06
40.8,3.152e+04,5.163e+04,1.675e+06,1.758e+06
42.3,3.386e+04,4.883e+04,1.420e+06,1.503e+06
43.9,3.179e+04,3.796e+04,9.934e+05,1.063e+06
45.5,2.752e+04,2.736e+04,6.562e+05,7.111e+05
47.1,2.219e+04,1.973e+04,4.586e+05,5.006e+05
48.6,1.954e+04,1.510e+04,3.517e+05,3.863e+05
