freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.902e+00,3.823e+01,7.635e+02,8.106e+02
1.6,2.617e+01,4.785e+01,5.579e+02,6.319e+02
3.1,2.557e+01,3.423e+01,2.492e+02,3.090e+02
4.7,2.509e+01,3.782e+01,6.102e+02,6.731e+02
6.3,3.000e+01,3.449e+01,1.581e+03,1.646e+03
7.9,3.780e+01,3.668e+01,2.364e+03,2.439e+03
9.4,3.255e+01,3.672e+01,3.334e+03,3.403e+03
11.0,3.727e+01,3.643e+01,4.453e+03,4.527e+03
12.6,3.971e+01,3.411e+01,5.919e+03,5.993e+03
14.1,4.818e+01,3.546e+01,8.156e+03,8.240e+03
15.7,5.645e+01,4.651e+01,1.069e+04,1.080e+04
17.3,3.665e+01,7.549e+01,1.247e+04,1.258e+04
18.8,2.481e+01,9.124e+01,1.581e+04,1.592e+04
20.4,2.859e+01,1.191e+02,2.133e+04,2.148e+04
22.0,5.858e+01,1.724e+02,2.740e+04,2.763e+04
23.6,1.045e+02,1.514e+02,3.228e+04,3.254e+04
25.1,1.123e+02,1.275e+02,4.056e+04,4.080e+04
26.7,1.175e+02,1.537e+02,5.201e+04,5.229e+04
28.3,1.277e+02,1.756e+02,6.879e+04,6.910e+04
29.8,1.576e+02,3.104e+02,1.000e+05,1.005e+05
31.4,2.517e+02,6.196e+02,1.384e+05,1.392e+05
33.0,3.807e+02,1.244e+03,2.074e+05,2.090e+05
34.5,4.342e+02,2.117e+03,3.002e+05,3.027e+05
36.1,5.613e+02,4.146e+03,4.998e+05,5.045e+05
37.7,1.519e+03,1.209e+04,1.168e+06,1.181e+06
39.3,2.747e+03,2.234e+04,1.837e+06,1.862e+06
40.8,3.804e+03,3.105e+04,2.195e+06,2.230e+06
42.4,4.032e+03,3.126e+04,1.949e+06,1.985e+06
44.0,3.396e+03,2.552e+04,1.419e+06,1.448e+06
45.5,2.586e+03,1.895e+04,9.762e+05,9.977e+05
47.1,2.067e+03,1.474e+04,7.267e+05,7.435e+05
48.7,1.978e+03,1.028e+04,5.034e+05,5.157e+05
50.2,1.441e+03,8.735e+03,3.625e+05,3.727e+05
51.8,1.443e+03,1.138e+04,3.461e+05,3.589e+05
53.4,1.008e+03,1.110e+04,3.205e+05,3.326e+05
55.0,5.737e+02,9.948e+03,2.411e+05,2.516e+05
56.5,3.955e+02,8.385e+03,1.219e+05,1.306e+05
58.1,4.931e+02,8.138e+03,6.682e+04,7.545e+04
